id,url,title,genres,averageRating,numVotes,releaseYear
tt1014762,https://www.imdb.com/title/tt1014762/,Home,"[""Documentary"", ""Family""]",8.5,23142,2009
tt0253997,https://www.imdb.com/title/tt0253997/,"The King of the Street Cleaners","[""Comedy"", ""Romance""]",8.5,21735,1977
tt0054407,https://www.imdb.com/title/tt0054407/,"The Hole","[""Crime"", ""Drama"", ""Thriller""]",8.5,20976,1960
tt0079221,https://www.imdb.com/title/tt0079221/,"Gol Maal","[""Comedy"", ""Romance""]",8.5,20345,1979
tt8413338,https://www.imdb.com/title/tt8413338/,"Kumbalangi Nights","[""Comedy"", ""Drama"", ""Romance""]",8.5,18786,2019
tt0263975,https://www.imdb.com/title/tt0263975/,"The Girl with the Red Scarf","[""Drama"", ""Romance""]",8.5,17182,1977
tt29623480,https://www.imdb.com/title/tt29623480/,"The Wild Robot","[""Animation"", ""Sci-Fi""]",8.5,15840,2024
tt0101649,https://www.imdb.com/title/tt0101649/,Thalapathi,"[""Action"", ""Crime"", ""Drama""]",8.5,13624,1991
tt9617456,https://www.imdb.com/title/tt9617456/,"For Sama","[""Biography"", ""Documentary"", ""War""]",8.5,13046,2019
tt0253991,https://www.imdb.com/title/tt0253991/,Zübük,"[""Comedy""]",8.5,11406,1980
tt26936666,https://www.imdb.com/title/tt26936666/,Vettaiyan,"[""Action"", ""Crime"", ""Drama""]",8.5,10071,2024
tt1345836,https://www.imdb.com/title/tt1345836/,"The Dark Knight Rises","[""Action"", ""Drama"", ""Thriller""]",8.4,1861746,2012
tt0361748,https://www.imdb.com/title/tt0361748/,"Inglourious Basterds","[""Adventure"", ""Drama"", ""War""]",8.4,1621237,2009
tt7286456,https://www.imdb.com/title/tt7286456/,Joker,"[""Crime"", ""Drama"", ""Thriller""]",8.4,1545548,2019
tt0209144,https://www.imdb.com/title/tt0209144/,Memento,"[""Mystery"", ""Thriller""]",8.4,1344667,2000
tt4154796,https://www.imdb.com/title/tt4154796/,"Avengers: Endgame","[""Action"", ""Adventure"", ""Drama""]",8.4,1303312,2019
tt4154756,https://www.imdb.com/title/tt4154756/,"Avengers: Infinity War","[""Action"", ""Adventure"", ""Sci-Fi""]",8.4,1237330,2018
tt0910970,https://www.imdb.com/title/tt0910970/,WALL·E,"[""Adventure"", ""Animation"", ""Family""]",8.4,1224678,2008
tt0081505,https://www.imdb.com/title/tt0081505/,"The Shining","[""Drama"", ""Horror""]",8.4,1131202,1980
tt0082971,https://www.imdb.com/title/tt0082971/,"Raiders of the Lost Ark","[""Action"", ""Adventure""]",8.4,1051025,1981
tt0090605,https://www.imdb.com/title/tt0090605/,Aliens,"[""Action"", ""Adventure"", ""Sci-Fi""]",8.4,786594,1986
tt0078788,https://www.imdb.com/title/tt0078788/,"Apocalypse Now","[""Drama"", ""Mystery"", ""War""]",8.4,722305,1979
tt4633694,https://www.imdb.com/title/tt4633694/,"Spider-Man: Into the Spider-Verse","[""Action"", ""Adventure"", ""Animation""]",8.4,695265,2018
tt2380307,https://www.imdb.com/title/tt2380307/,Coco,"[""Adventure"", ""Animation"", ""Drama""]",8.4,614896,2017
tt1187043,https://www.imdb.com/title/tt1187043/,"3 Idiots","[""Comedy"", ""Drama""]",8.4,444257,2009
tt0086879,https://www.imdb.com/title/tt0086879/,Amadeus,"[""Biography"", ""Drama"", ""Music""]",8.4,435632,1984
tt0405094,https://www.imdb.com/title/tt0405094/,"The Lives of Others","[""Drama"", ""Mystery"", ""Thriller""]",8.4,416462,2006
tt5311514,https://www.imdb.com/title/tt5311514/,"Your Name.","[""Animation"", ""Drama"", ""Fantasy""]",8.4,335085,2016
tt0082096,https://www.imdb.com/title/tt0082096/,"Das Boot","[""Drama"", ""War""]",8.4,268257,1981
tt0032553,https://www.imdb.com/title/tt0032553/,"The Great Dictator","[""Comedy"", ""Drama"", ""War""]",8.4,241147,1940
tt0043014,https://www.imdb.com/title/tt0043014/,"Sunset Boulevard","[""Drama"", ""Film-Noir""]",8.4,240746,1950
tt0050825,https://www.imdb.com/title/tt0050825/,"Paths of Glory","[""Drama"", ""War""]",8.4,217516,1957
tt0051201,https://www.imdb.com/title/tt0051201/,"Witness for the Prosecution","[""Crime"", ""Drama"", ""Mystery""]",8.4,141427,1957
tt8267604,https://www.imdb.com/title/tt8267604/,Capernaum,"[""Drama""]",8.4,109588,2018
tt0091251,https://www.imdb.com/title/tt0091251/,"Come and See","[""Drama"", ""Thriller"", ""War""]",8.4,102251,1985
